,lat,long,name,addr,uri,reviews,num_reviews,loc_type,description,price,zone
2325,40.802732299999995,-73.96814950000001,Kyuramen  Upper West Side,"2787 Broadway, New York, NY 10025, USA",https://www.kyuramennewyork.com/,Rating: 4.5,10312,Restaurant,"ramen restaurant, japanese restaurant, restaurant, food",price level moderate,Bloomingdale
2326,40.8000122,-73.9678344,McDonalds,"2726 Broadway, New York, NY 10025, USA",https://www.mcdonalds.com/us/en-us/location/NY/NEW-YORK/2726-BROADWAY/31749.html?cid=RF:YXT:GMB::Clicks,Rating: 3.4,1176,Restaurant,"fast food restaurant, coffee shop, hamburger restaurant, sandwich shop, cafe, breakfast restaurant, american restaurant, food store, store, restaurant, food",price level cheap,Manhattan Valley
2327,40.8000562,-73.9684479,Cafe du Soleil,"2723 Broadway, New York, NY 10025, USA",http://www.cafedusoleilny.com/,Rating: 4.3,13678,"Restaurant, Bar","french restaurant, bar, restaurant, food",price level moderate,Manhattan Valley
2328,40.8022664,-73.96465409999999,Amity Hall Uptown,"982 Amsterdam Ave, New York, NY 10025, USA",https://amityhalluptown.com/,Rating: 4.3,12329,"Night Club, Bar","bar, american restaurant, night club, restaurant, food",price level moderate,Bloomingdale
2329,40.802609,-73.964406,Roti Roll Bombay Frankie,"994 Amsterdam Ave, New York, NY 10025, USA",http://www.rotirollny.com/,Rating: 4.4,13582,Restaurant,"indian restaurant, fast food restaurant, meal takeaway, restaurant, food",price level cheap,Bloomingdale
2330,40.8013322,-73.96530369999999,Thai Market,"960 Amsterdam Ave, New York, NY 10025, USA",http://thaimarketny.net/,Rating: 4.3,7181,Restaurant,"thai restaurant, restaurant, food",price level moderate,Bloomingdale
2331,40.8013559,-73.9647057,Happy Hot Hunan,"969 Amsterdam Ave, New York, NY 10025, USA",http://www.happyhothunanny.com/,Rating: 4,17719,Restaurant,"chinese restaurant, restaurant, food",price level moderate,Bloomingdale
2332,40.8011736,-73.9612121,Homemade Taqueria Columbus,"999 Columbus Ave, New York, NY 10025, USA",https://homemadetaqueria.com/columbus?utm_source=google,Rating: 4.6,18378,Restaurant,"mexican restaurant, restaurant, food",price level cheap,Bloomingdale
2333,40.8014246,-73.9616065,Kikoo Sushi,"998 Columbus Ave, New York, NY 10025, USA",http://www.kikoowest.com/,Rating: 4.3,13071,Restaurant,"sushi restaurant, japanese restaurant, restaurant, food",price level very cheap,Bloomingdale
2334,40.8010703,-73.9588282,Cafe Amrita,"301 W 110th St, New York, NY 10026, USA",https://amritacafe.com/,Rating: 4.1,3941,Restaurant,"cafe, food",price level moderate,Central Harlem
